id
colorNew;Начальные;;;;m_7;;;;m_8;;;;m_38;;;;
19;ЛДСП полка;565x435x16 мм;;;m;_;7;undefined;LWWHWS(N);500;белая;;LWOWWS(N);Нет в наличии;дуб
20;Сеточная корзина;410x555x85 мм;;;m;_;7;undefined;L9529WH(N);570;белая;;L9529BL(N);627;черная
21;Рама. 7 уровней;565x435x750 мм;;;m;_;7;undefined;LWS7FWH(N);2000;белая;;LWS7FBL(N);Нет в наличии;черная
22;Сеточная корзина;410x555x185 мм;;;m;_;7;undefined;L9530WH(N);775;белая;;L9530BL(N);853;черная
23;Кронштейн для полки ;406 мм;;;m;_;7;undefined;L9240WH;210;белый;;L9240BL;231;черный
24;Сеточная полка;603x406 мм;;;m;_;7;undefined;L9964WH;600;белая;;L9964BL;660;черная
25;Рама. 5 уровней;565x435x550 мм;;;m;_;7;undefined;LWS5FWH(N);1750;белая;;LWS5FBL(N);Нет в наличии;черная
30;Сеточная полка  ;903x306 мм;;;m;_;7;undefined;L9993WH;700;белая;;L9993BL;Нет в наличии;черная
31;Корзина на трении;590x424x180 мм;;;m;_;7;undefined;L9540WH;770;белая;;L9540BL;Нет в наличии;черная
32;Кронштейн для полки;306 мм;;;m;_;7;undefined;L9230WH;140;белый;;L9230BL;Нет в наличии;черный
33;Двусторонний кронштейн;603x406 мм;;;m;_;7;undefined;L9350WH;595;белый;;L9350BL;Нет в наличии;черный
34;Кронштейны для корзин;603x406 мм;;;m;_;7;undefined;L9340WH;775;белые;;L9340BL;Нет в наличии;черные
35;Сеточная полка;1203x406 мм;;;m;_;7;undefined;L99124WH;1050;белая;;L99124BL;1155;черная
36;Торцевые заглушки;2 штуки в комплекте;;;m;_;7;undefined;L9702CH;110;хром;;L9702CH;110;хром
38;Крон. для перекладины;25 мм;;;m;_;7;undefined;L9701WH;35;белый;;L9701BL;39;черный
39;Перфопанель;585x155 мм;;;m;_;7;undefined;L99G64WH;520;белая;;L99G64BL;520;черная
40;Кронштейн для ЛДСП;130 мм;;;m;_;7;undefined;L9096WH;350;белый;;L9096BL;385;черный
41;ЛДСП полка;585x406x16 мм;;;m;_;7;undefined;LWWH406;500;белая;;LWOW406;Нет в наличии;дуб
42;Сеточная полка;603x306 мм;;;m;_;7;undefined;L9963WH;525;белая;;L9963BL;Нет в наличии;черная
43;Сеточная полка ;1203x306 мм;;;m;_;7;undefined;L99123WH;950;белая;;L99123BL;Нет в наличии;черная
44;Сеточная полка ;903x406 мм;;;m;_;7;undefined;L9994WH;800;белая;;L9994BL;880;черная
46;Рельс для крепления стойки ;1000 мм;;;m;_;7;undefined;L9810WH;350;белый;;L9810BL;385;черный
47;Стойка;1156 мм;;;m;_;7;undefined;L9111WH;475;белая;;L9111BL;523;черная
48;стойка;1506 мм;;;m;_;7;undefined;L9115WH;525;белая;;L9115BL;580;черная
49;Стойка;1955 мм;;;m;_;7;undefined;L9120WH;600;белая;;L9120BL;660;черная
50;Рельс для крепления стойки ;1560 мм;;;m;_;7;undefined;L9821WH;550;белый;;L9821BL;605;черный
51;Полка-корзина;604x406x118 мм;;;m;_;7;undefined;L9549WH;850;белая;;L9549BL;935;черная
52;Полка-корзина;904x406x118 мм;;;m;_;7;undefined;L9550WH;1050;белая;;L9550BL;1155;черная
53;Метал. полка;595x420 мм;;;m;_;7;undefined;L99S64WH;830;белая;;L99S64BL;990;черная
54;Брючница;597x425 мм;;;m;_;7;undefined;L9602WH;1900;белая;;L9602BL;2100;черная
55;Выдвижная рама;597x425 мм;;;m;_;7;undefined;L9601WH;1550;белая;;L9601BL;1725;черная
56;Полка для обуви;603x306x80 мм;;;m;_;7;undefined;L9438WH;600;белая;;L9438WH;600;черная
57;Полка-корзина;604x306x118 мм;;;m;_;7;undefined;L9547WH;700;белая;;L9547BL;Нет в наличии;черная
58;Перфопанель;890x155 мм;;;m;_;7;undefined;L99G94WH;700;белая;;L99G94BL;700;черная
59;Сет. корзина;555x410x85 мм;;;m;_;7;undefined;L9529WH(N);570;белая;;L9529BL(N);627;черная
60;Сет. корзина;555x410x185 мм;;;m;_;7;undefined;L9530WH(N);775;белая;;L9530BL(N);853;черная
61;Метал. полка;595x320 мм;;;m;_;7;undefined;L99S63WH;730;белая;;L99S63BL;Нет в наличии;черная
64;ЛДСП полка;585x306x16 мм;;;m;_;7;undefined;LWWH306;400;белая;;LWOW306;Нет в наличии;дуб
65;Разделитель;114х10х403 мм;;;m;_;7;undefined;L9715;185;белый;;L9715;185;белый
66;Крючок. 3 шт;110x40x68 мм;;;m;_;7;undefined;LWHK005;170;стальные;;LWHK005;170;стальные
67;Крючок. 5 шт;40x50x4 мм;;;m;_;7;undefined;LWHK004;170;стальные;;LWHK004;170;стальные
68;Крючок. 5 шт;37х8х14 мм;;;m;_;7;undefined;LWHK003;250;стальные;;LWHK003;250;стальные
69;Крючок. 5 шт;125 мм;;;m;_;7;undefined;LWHK002;310;стальные;;LWHK002;310;стальные
70;Крючок. 5 шт;125 мм;;;m;_;7;undefined;LWHK001;175;стальные;;LWHK001;175;стальные
71;Крючок;199х49х43 мм;;;m;_;7;undefined;LWHK006;180;стальной;;LWHK006;180;стальной
81;Перекладина;2000 мм;;;m;_;7;undefined;L62R25CH200;360;хром;;L62R25CH200;360;хром
82;Перекладина;1240 мм;;;m;_;7;undefined;L62R25CH124;245;хром;;L62R25CH124;245;хром
83;Перекладина;940 мм;;;m;_;7;undefined;L62R25CH94;190;хром;;L62R25CH94;190;хром
84;Перекладина;640 мм;;;m;_;7;undefined;L62R25CH64;140;хром;;L62R25CH64;140;хром
86;Мелкосет. Корзина;555x410x185 мм;;;m;_;7;undefined;L9560WH(N);1150;белая;;L9560BL(N);1265;черная
87;Мелкосет. корзина;555x410x85 мм;;;m;_;7;undefined;L9559WH(N);750;белая;;L9559BL(N);825;черная
88;Полка для обуви;603x404 мм;;;m;_;7;undefined;L9442WH;750;белая;;L9442BL;825;черная
89;Полка для обуви;903x404 мм;;;m;_;7;undefined;L9443WH;1100;белая;;L9443BL;Нет в наличии;черная
90;Выдвижная;410x555 мм;;;m;_;7;undefined;L9444WH;825;белая;;L9444BL;Нет в наличии;черная
93;Мелкосет. корзина;555x410x85 мм;;;m;_;7;undefined;L9559WH(N);750;белая;;L9559BL(N);825;черная
95;Корзина на трении;590x424x100 мм;;;m;_;7;undefined;L9539WH;570;белая;;L9539BL;Нет в наличии;черная
96;Соединитель для перекладины;38x27x27 мм;;;m;_;7;undefined;L9703;84;черный;;L9703;84;черный
98;Рама. 3 уровня;565x435x350 мм;;;m;_;7;undefined;LWS3FWH(N);1300;белая;;LWS3FBL(N);Нет в наличии;черная
100;Мелкосет. корзина;555x410x185 мм;;;m;_;7;undefined;L9560WH(N);1150;белая;;L9560BL(N);1265;черная
107;Крепление для ЛДСП полки;80x70x15;;;m;_;7;undefined;L9706WH;167;белое;;L9706BL;Нет в наличии;черное
108;Декоративная заглушка;421x17x8 мм;;;m;_;7;undefined;L6176WH;125;белая;;L6176BL;138;черная
109;Декоративная заглушка;321x17x8 мм;;;m;_;7;undefined;L6175WH;115;белая;;L6175BL;Нет в наличии;черная
110;Ограничители для корзин;30x37x12 мм;;;m;_;7;undefined;L6172;95;красный;;L6172;95;красный
166;Соединители для стойки;113х13х12 мм;;;m;_;7;undefined;L9711WH;100;белый;;L9711BL;Нет в наличии;черный
214;Мелкосетчатая полка;590х420х15 мм;;;m;_;7;undefined;L99M64WH;Нет в наличии;белый;;L99M64WH;800;черный
215;Мелкосетчатая полка;890х420х15 мм;;;m;_;7;undefined;L99M94WH;Нет в наличии;белый;;L99M94WH;900;черный
14;Стойки;неужны для цвета;;;;0;0;0;0;0;0;0;0;0;0
colorNew;Ящеки;;;;m_39;;;;m_40;;;;
186;0;0;0;;0;0;0;;0;0;0;;
197;Корпус шкафа;500х2360х580 мм;2;;сн50х58;3199;дуб Сонома;;сн50х58;3199;ясень светлый;;
198;Корпус шкафа;750х2360х580 мм;2;;сн75х58;3699;дуб Сонома;;сн75х58;3699;ясень светлый;;
199;Корпус шкафа;1000х2360х580 мм;2;;сн100х58;3999;дуб Сонома;;сн100х58;3999;ясень светлый;;
209;0;0;0;;0;0;0;;0;0;0;;
218;218 Связь 50_58;460х580 мм;2;;сн50х58;599;дуб Сонома;;сн50х58;599;ясень светлый;;
219;219 Связь 75_58;710х580 мм;2;;сн75х58;799;дуб Сонома;;сн75х58;799;ясень светлый;;
220;220 Связь 100_58 ;960х580 мм;2;;сн100х58;1999;дуб Сонома;;сн100х58;1999;ясень светлый;;
212;Держалка перила;35 мм6;2;22;5;590;белый;;L9711GA;90;серый;;
colorNew;В ящичках;;;;m_8;;;;m_7;;;;
185;0;0;;;0;0;0;;0;0;0;;
189;189 Связь ;113х13х12 мм185_2;2;;сн50х58;190;белый;;сн50х58;90;серый;;
191;191 Связь ;113х13х12 мм185_4;2;;сн75х58;390;белый;;сн75х58;90;серый;;
193;193 Связь ;113х13х12 мм185_6;2;;сн100х58;590;белый;;сн100х58;90;серый;;
